DEBUG 2018-04-23 01:07:33,731 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - EdwardAbp.Sessions.Dto.TenantLoginInfoDto
DEBUG 2018-04-23 01:07:33,731 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - EdwardAbp.Sessions.Dto.UserLoginInfoDto
DEBUG 2018-04-23 01:07:33,731 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - EdwardAbp.Roles.Dto.CreateRoleDto
DEBUG 2018-04-23 01:07:33,732 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - EdwardAbp.Roles.Dto.PermissionDto
DEBUG 2018-04-23 01:07:33,732 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - EdwardAbp.Roles.Dto.RoleDto
DEBUG 2018-04-23 01:07:33,732 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - EdwardAbp.MultiTenancy.Dto.CreateTenantDto
DEBUG 2018-04-23 01:07:33,732 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - EdwardAbp.MultiTenancy.Dto.TenantDto
INFO  2018-04-23 01:07:40,194 [5    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/  
INFO  2018-04-23 01:07:45,033 [5    ] ore.Mvc.Internal.ControllerActionInvoker - Executing action method EdwardAbp.Web.Host.Controllers.HomeController.Index (EdwardAbp.Web.Host) with arguments ((null)) - ModelState is Valid
INFO  2018-04-23 01:07:45,203 [6    ] Core.Mvc.Internal.RedirectResultExecutor - Executing RedirectResult, redirecting to /swagger.
INFO  2018-04-23 01:07:45,218 [6    ] ore.Mvc.Internal.ControllerActionInvoker - Executed action EdwardAbp.Web.Host.Controllers.HomeController.Index (EdwardAbp.Web.Host) in 1417.9873ms
INFO  2018-04-23 01:07:45,240 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 5087.943ms 302 
INFO  2018-04-23 01:07:45,264 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger  
INFO  2018-04-23 01:07:45,284 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 19.1675ms 301 
INFO  2018-04-23 01:07:45,292 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/  
INFO  2018-04-23 01:07:45,318 [6    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/index.html'. Physical path: 'N/A'
INFO  2018-04-23 01:07:45,376 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 43.0741ms 200 text/html
INFO  2018-04-23 01:07:45,430 [5    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/lib/jquery-1.8.0.min.js  
INFO  2018-04-23 01:07:45,481 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/css/screen.css  
INFO  2018-04-23 01:07:45,485 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/lib/jquery.slideto.min.js  
INFO  2018-04-23 01:07:45,487 [16   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/lib/object-assign-pollyfill.js  
INFO  2018-04-23 01:07:45,490 [18   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/css/typography.css  
INFO  2018-04-23 01:07:45,541 [5    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/jquery-1.8.0.min.js'. Physical path: 'N/A'
INFO  2018-04-23 01:07:45,587 [13   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/jquery.slideto.min.js'. Physical path: 'N/A'
INFO  2018-04-23 01:07:45,593 [6    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/css/screen.css'. Physical path: 'N/A'
INFO  2018-04-23 01:07:45,599 [18   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/css/typography.css'. Physical path: 'N/A'
INFO  2018-04-23 01:07:45,609 [16   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/object-assign-pollyfill.js'. Physical path: 'N/A'
INFO  2018-04-23 01:07:45,631 [17   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/css/reset.css  
INFO  2018-04-23 01:07:45,659 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 166.4821ms 200 text/css
INFO  2018-04-23 01:07:45,661 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 215.8688ms 200 application/javascript
INFO  2018-04-23 01:07:45,688 [16   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 234.5073ms 200 application/javascript
INFO  2018-04-23 01:07:45,727 [17   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/css/reset.css'. Physical path: 'N/A'
INFO  2018-04-23 01:07:45,733 [18   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 223.0254ms 200 text/css
INFO  2018-04-23 01:07:45,853 [6    ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/lib/handlebars-4.0.5.js  
INFO  2018-04-23 01:07:45,856 [17   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 349.4421ms 200 text/css
INFO  2018-04-23 01:07:45,878 [13   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/lib/jquery.wiggle.min.js  
INFO  2018-04-23 01:07:45,880 [16   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/lib/lodash.min.js  
INFO  2018-04-23 01:07:45,930 [6    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/lib/handlebars-4.0.5.js'. Physical path: 'N/A'
INFO  2018-04-23 01:07:45,952 [17   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/swagger-ui.min.js  
